Paper_Name,Total_cite_count,Publish_year,Authors,Publication_date,Conference,Pages,Publisher,cite_in_2000,cite_in_2001,cite_in_2002,cite_in_2003,cite_in_2004,cite_in_2005,cite_in_2006,cite_in_2007,cite_in_2008,cite_in_2009,cite_in_2010,cite_in_2011,cite_in_2012,cite_in_2013,cite_in_2014,cite_in_2015,cite_in_2016,cite_in_2017,cite_in_2018,cite_in_2019
A Wavelet-Based Watermarking Scheme for Color Images.,3,2013,"Mohit Gupta, Deep Tarun Gupta, Vikas Saxena",2013/5/1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
DDoS detection with daubechies,3,2012,"Gagandeep Kaur, Vikas Saxena, JP Gupta",2012/8/6,International Conference on Contemporary Computing,395-406,"Springer, Berlin, Heidelberg",0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
Study of self-similarity for detection of rate-based network anomalies,2,2017,"Gagandeep Kaur, Vikas Saxena, Jay Prakash Gupta",2017/8/1,,27-44,SCIENCE & ENGINEERING RESEARCH SUPPORT SOC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Metadata based multi-labelling of YouTube videos,2,2017,"Neha Agarwal, Rajat Gupta, Sandeep Kumar Singh, Vikas Saxena",2017/1/12,"2017 7th International Conference on Cloud Computing, Data Science & Engineering-Confluence",586-590,IEEE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Advanced free-form deformation and Kullback–Lieblier divergence measure for digital elevation model registration,2,2015,"Suma Dawn, Vikas Saxena, Bhu Dev Sharma",2015/10/1,,1625-1635,Springer London,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Data-parallel full reference algorithm for dropped frame identification in uncompressed video using genetic algorithm,2,2013,"Manish K Thakur, Vikas Saxena, JP Gupta",2013/8/8,2013 Sixth International Conference on Contemporary Computing (IC3),467-471,IEEE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
DEM registration using watershed algorithm and chain coding,2,2011,"Suma Dawn, Vikas Saxena, Bhudev Sharma",2011/3/25,Proceedings of the Fourth Annual ACM Bangalore Conference,8,ACM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"Contemporary Computing: Second International Conference, IC3 2009, Noida, India, August 17-19, 2009. Proceedings",2,2009,"Sanjay Ranka, Srinivas Aluru, Rajkumar Buyya, Yeh-Ching Chung, Sandeep Gupta, Ananth Grama, Rajeev Kumar, Vir V Phoha, Sumeet Dua",2009/8/19,,,Springer Science & Business Media,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Diabetic retinopathy detection using feedforward neural network,1,2017,"Jayant Yadav, Manish Sharma, Vikas Saxena",2017/8/10,2017 Tenth International Conference on Contemporary Computing (IC3),1-3,IEEE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
A hybrid video quality metric for analyzing quality degradation due to frame drop,1,2014,"Manish K Thakur, Vikas Saxena, JP Gupta",2014/5/21,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
performance analysis of PSNR and SSIM against frame drop and its subjective score,1,2013,"Manish K Thakur, Vikas Saxena, JP Gupta",2013/2/1,,679,Advanced Institutes of Convergence Information Technology,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Contemporary Computing: Second International Conference, IC3 2010, Noida, India, August 9-11, 2010. Proceedings",1,2010,"Sanjay Ranka, Arunava Banerjee, Kanad Kishore Biswas, Sumeet Dua, Prabhat Mishra, Rajat Moona, Sheung-Hung Poon, Cho-Li Wang",2010/9/30,,,Springer,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Green cover change detection using a modified adaptive ensemble of extreme learning machines for North-Western India,,2018,"Madhu Khurana, Vikas Saxena",2018/9/8,,,Elsevier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Collusion Attack Resistant SVD Based Secured Audio Watermarking Scheme with Chaotic Encryption,,2018,"Tribhuwan KumarTewari, Vikas Saxena",2018/8/2,2018 Eleventh International Conference on Contemporary Computing (IC3),1-5,IEEE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assessing the Scar Images to Check Medical Treatment Effectiveness,,2018,"Prateechi Singh, Vikas Saxena",2018/2/22,2018 5th International Conference on Signal Processing and Integrated Networks (SPIN),624-629,IEEE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017 Tenth International Conference on Contemporary Computing (IC3),,2017,"Sanjay Goel Srinivas Aluru, Ananth Kalyanararnan, Bora Uçar, Kishor Kothapalli, Mahantesh Halappanavar, Kamesh Madduri, Madhu Govindaraju, Yinglong Xia, Sushil K. Prasad, Martina Barnas, Ashish Sureka, Pankesh Patel, Vikas Saxena",2017/8,,,ISBN 978-1-5386-3077-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Exploring the effectiveness of various texture features for change detection in remote sensing images,,2017,"Madhu Khurana, Vikas Saxena",2017/7/1,"2017 International Conference on Computer, Communications and Electronics (Comptelix)",96-100,IEEE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Understanding sarcasm in speech using mel-frequency cepstral coefficent,,2017,"Abhinav Mathur, Vikas Saxena, Sandeep K Singh",2017/1/12,"2017 7th International Conference on Cloud Computing, Data Science & Engineering-Confluence",728-732,IEEE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Effectiveness of morphological reconstruction operators in change detection for remote sensing images,,2017,"Madhu Khurana, Vikas Saxena",2017,,151-166,Inderscience Publishers (IEL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Optimizing spatial database performance for handling moving objects,,2016,"Parag Garg, Vikas Saxena, Sandeep K Singh",2016/9/30,"2016 2nd International Conference on Advances in Computing, Communication, & Automation (ICACCA)(Fall)",1-3,IEEE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2016 Ninth International Conference on Contemporary Computing, IC3 2016",,2016,"Vikas Saxena Sanjay Goel, Dheeraj Sanghi, Albert Y. Zomaya, Azzedine Boukerche, Ratan K. Ghosh, Manoj Singh Gaur, Rahul Banerjee",2016/8,,,ISBN 978-1-5090-3251-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VISORV: Board reading, getting directions through Marker Detection for partially visually impaired people",,2015,"Akriti Saini, Nishank Bhatia, Vikas Saxena",2015/8/20,2015 Eighth International Conference on Contemporary Computing (IC3),360-364,IEEE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Removing occlusion using even odd interlacing for efficient class room teaching,,2015,"Vikas Saxena, Juhi Shukla",2015/8/20,2015 Eighth International Conference on Contemporary Computing (IC3),389-392,IEEE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Novel Non-rigid Free-form Deformation for Consistent Registration of Digital Elevation Models,,2014,"Suma Dawn, Vikas Saxena, Bhu Dev Sharma",2014/12/14,Proceedings of the 2014 Indian Conference on Computer Vision Graphics and Image Processing,49,ACM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cognitive-mapping and contextual pyramid based Digital Elevation Model Registration and its effective storage using fractal based compression,,2014,"Suma Dawn, Vikas Saxena, Bhudev Sharma",2014/5/9,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Higher Compression of Images Using MR-JPEG Scheme and Images Standard Deviation,,2013,Vikas Saxena,2013/8/1,,39,IUP Publications,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3D Terrain Synthesis from SRTM data and Spatial Watermarking,,2011,"Vikas Saxena Garg Aditya, Joshi Ruchir",2011/10,,9-12,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Video Encryption: A Survey.,,2011,Vikas Saxena,2011/3/1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aditya Garg Ruchir Joshi,,2011,Vikas Saxena,2011,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3D Terrain Synthesis from SRTM data and Spatial Watermarking,,2011,"Aditya Garg, Ruchir Joshi, Vikas Saxena",2011,,8887,"International Journal of Computer Applications, 244 5 th Avenue,# 1526, New York, NY 10001, USA India",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Content Based Multimodal Retrieval for Databases of Indian Monuments,,2010,"Aman Agarwal, Vikas Saxena",2010/8/9,International Conference on Contemporary Computing,446-455,"Springer, Berlin, Heidelberg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
An Analysis of Anomaly Detection in Network Traffic and Role of Wavelets.,,2010,"Gagandeep Kaur, Vikas Saxena",2010/3/1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tribhuwan Kumar Tewari,,2010,Vikas Saxena,2010,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Content Based Multimodal Retrieval for Databases of Indian Monuments,,2010,Saxena Vikas Agarwal Aman,2010,Third International Conference on Contemporary Computing,457-468,Springer-CCIS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DWT-Based Watermarking for JPEG2000 Images,,2009,"Sharma R.G., and Saxena V",2009,,pp. 28-36,ICFAI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Image of the month. Phyllodes tumor (benign).,,2008,"Somprakas Basu, Vaibhav Saxena, CL Sharma, Mohan Kumar",2008/2,,207,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AWOMAN, AGED 30 YEARS, PRESENTED WITH",,2008,"Somprakas Basu, Vaibhav Saxena, CLN Sharma, Mohan Kumar",2008,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Multi-tier Virtual Machine Architecture: VM-on-VM (n, n-1) Implementation",,2008,"Prakhar Agarwal, Vikas Saxena",2008,International Conference on Contemporary Computing,64-67,Springer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Extending Open Source Solution for Performance Testing of Web (http/https) Application,,2007,"Agarwal N. Sharma N., and Saxena V Gupta S., Himanshu H.",2007,"Proceedings of the 2007 International Conference on Internet Computing, Las Vegas, Nevada, USA,",pp 429-432,"IAENG, Refer DBLP:http://www.informatik.uni-trier.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A New Way to Reduce Chaos in Software Process,,2007,"Saxena V., and Pandey A",2007,"IAENG International Conference on Software Engineering, vol.1, , Hong Kong",pp. 1169-1171,"IAENG, refer DBLP:http://www.informatik.uni-trier.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unconventional Use of PSP to Enhance and Measure the Quality of Engineering Graduates,,2007,Pandey A. & Saxena V,2007,"IMECS, Hongkong",1056-1059,IAENG ( Refer DBLP:http://www.informatik.uni-trier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robustness Analysis of Fractal Logos for Fractal Image Watermarking,,2007,"J. P. Gupta: Ritesh Agrawal, Shashi Diwan, Vikas Saxena",2007,"IPCV 2007, Navada, USA",595-600,"IAENG, http://www.informatik.uni-trier.de/~ley/per",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Exploiting 4-Neighborhood Concept in Feature Based Image Morphing,,2006,Sahoo Anita Saxena Vikas,2006,"First international Conference on Emerging Applications of Information Technology, Kolkota, India",141-144,Elsevier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parallel Computational Techniques in Fluid Dynamics,,1992,"D Folsom, M Kumar, R Natarajan, R Panda, V Sonnad, V Saxena",1992,,165,Elsevier Science Ltd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BUILDING VOICE ENABLED VISUAL BASIC APPLICATION,,1970,"Vikas Saxena, MANSI RUGHWANI, Nikita Manchanda",1970,,,International Association of Online Engineering,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The IUP Journal of,,,"GC Nwalozie, KM Nwokedi, OS Oguejiofor, JO Onubogu, M Sumathi, Manoj Kumar, Sandeep K Arya, Sujata Pandey, Mohit Gupta, Deep Tarun Gupta, Vikas Saxena",,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Contemporary Computing,,,"Sanjay Ranka Srinivas Aluru, Rajkumar Buyya Yeh-Ching Chung, Sumeet Dua Ananth Grama, Sandeep KS Gupta Rajeev Kumar, Vir V Phoha",,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VIKAS SAXENA,,,JP Gupta,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SYNOPSIS OF THE THESIS SUBMITTED IN FULFILMENT OF THE REQUIREMENTS FOR THE AWARD OF DEGREE OF DOCTOR OF PHILOSOPHY IN COMPUTER SCIENCE AND ENGINEERING,,,VIKAS SAXENA,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
