Paper_Name,Total_cite_count,Publish_year,Authors,Publication_date,Conference,Pages,Publisher,cite_in_2000,cite_in_2001,cite_in_2002,cite_in_2003,cite_in_2004,cite_in_2005,cite_in_2006,cite_in_2007,cite_in_2008,cite_in_2009,cite_in_2010,cite_in_2011,cite_in_2012,cite_in_2013,cite_in_2014,cite_in_2015,cite_in_2016,cite_in_2017,cite_in_2018,cite_in_2019
"Nature-inspired algorithms: state-of-art, problems and prospects",28,2014,"Parul Agarwal, Shikha Mehta",2014/8,,14-21,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,7,8,3
Enhanced flower pollination algorithm on data clustering,9,2016,"Parul Agarwal, Shikha Mehta",2016/7/2,,144-155,Taylor & Francis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,3
Empirical analysis of five nature-inspired algorithms on real parameter optimization problems,7,2018,"Parul Agarwal, Shikha Mehta",2018/10/1,,383-439,Springer Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3
Comparative analysis of nature inspired algorithms on data clustering,7,2015,"Parul Agarwal, Shikha Mehta",2015/11/20,2015 IEEE International Conference on Research in Computational Intelligence and Communication Networks (ICRCICN),119-124,IEEE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,1
Subspace Clustering of High Dimensional Data Using Differential Evolution,,2019,"Parul Agarwal, Shikha Mehta",2019,,47-74,IGI Global,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Differential bond energy algorithm for optimal vertical fragmentation of distributed databases,,2018,"Shikha Mehta, Parul Agarwal, Prakhar Shrivastava, Jharna Barlawala",2018/9/27,,,Elsevier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Empirical Analysis of Bitcoin Market Volatility using Supervised Learning Approach,,2018,Parul Agarwal Hrishikesh Singh,2018/8/4,Eleventh International Conference on Contemporary Computing (IC3),,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Recommending Optimal Tour for Groups using Ant Colony Optimization,,2018,"Shikha Mehta Parul Agarwal, Mayank Sourabh, Rishabh Sachdeva, Siddharh Sharma",2018/8/4,Eleventh International Conference on Contemporary Computing (IC3),,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
